0.005,278.4
0.01,173.1
0.015,111.7
0.02,113.0
0.025,111.9
0.03,115.4
0.035,109.9
0.04,109.2
0.045,112.2
0.05,108.9
0.055,110.5
0.06,111.3
0.065,113.5
0.07,109.4
0.075,112.5
0.08,89.3
0.085,89.8
0.09,90.5
0.095,87.9
0.1,88.5
0.105,88.2
0.11,88.8
0.115,88.2
0.12,88.2
0.125,92.5
0.13,90.0
0.135,89.0
0.14,87.9
0.145,90.6
0.15,87.9
0.155,88.5
0.16,88.2
0.165,88.9
0.17,88.5
0.175,89.6
0.18,89.0
0.185,88.6
0.19,89.6
0.195,87.7
0.2,88.4
0.205,108.4
0.21,108.9
0.215,109.4
0.22,112.7
0.225,113.8
0.23,118.4
0.235,124.3
0.24,114.9
0.245,112.7
0.25,115.3
0.255,116.5
0.26,120.3
0.265,115.2
0.27,119.4
0.275,111.1
0.28,111.5
0.285,112.0
0.29,113.9
0.295,113.0
0.3,112.9
0.305,111.6
0.31,112.5
0.315,112.6
0.32,109.0
0.325,113.1
0.33,116.6
0.335,112.9
0.34,115.0
0.345,118.6
0.35,111.5
0.355,113.8
0.36,114.4
0.365,113.7
0.37,113.0
0.375,116.3
0.38,112.3
0.385,111.5
0.39,114.2
0.395,110.3
0.4,113.0
0.405,117.6
0.41,114.7
0.415,114.5
0.42,113.9
0.425,113.7
0.43,117.3
0.435,117.9
0.44,117.6
0.445,118.1
0.45,119.4
